NOMBRE,APELLIDO,PADRON,MAIL
Estudiante,Prueba 1,10001,estudiante1@fi.uba.ar
Estudiante,Prueba 2,10002,estudiante2@fi.uba.ar
Estudiante,Prueba 3,10003,estudiante3@fi.uba.ar
Estudiante,Prueba 4,10004,estudiante4@fi.uba.ar
Estudiante,Prueba 5,10005,estudiante5@fi.uba.ar
Estudiante,Prueba 6,10006,estudiante6@fi.uba.ar
Estudiante,Prueba 7,10007,estudiante7@fi.uba.ar
Estudiante,Prueba 8,10008,estudiante8@fi.uba.ar
Estudiante,Prueba 9,10009,estudiante9@fi.uba.ar
Estudiante,Prueba 10,10010,estudiante10@fi.uba.ar
Estudiante,Prueba 11,10011,estudiante11@fi.uba.ar
Estudiante,Prueba 12,10012,estudiante12@fi.uba.ar
Estudiante,Prueba 13,10013,estudiante13@fi.uba.ar
Estudiante,Prueba 14,10014,estudiante14@fi.uba.ar
Estudiante,Prueba 15,10015,estudiante15@fi.uba.ar
Estudiante,Prueba 16,10016,estudiante16@fi.uba.ar
Estudiante,Prueba 17,10017,estudiante17@fi.uba.ar
